critic_rating,user_rating,num_critic_rev,num_user_rev,genres,esrb_rating,unit shipped/sold
69,8.5,23,21,Misc,T,1000.0
72,7.3,19,16,Misc,T,1000.0
73,7.0,35,1443,RPG,M,1000.0
86,8.9,9,660,Action,M,600000.0
60,5.3,19,28,Misc,M,1000.0
71,7.7,14,55,Misc,T,1000.0
75,7.8,15,34,Misc,T,1000.0
70,6.4,6,8,RPG,M,1000.0
72,7.0,23,29,Action,M,1000.0
60,4.9,20,51,Action,T,1000.0
22,4.5,5,28,RPG,T,1000.0
68,7.1,48,249,RPG,RP,310000.0
74,7.3,48,83,Misc,RP,100000.0
75,7.5,20,355,Action,T,1000.0
65,5.4,10,31,Action,T,1000.0
74,0.0,5,0,Action,T,1000.0
70,7.0,14,12,RPG,M,1000.0
68,4.5,26,257,RPG,M,1000.0
53,6.2,25,11,RPG,RP,1000.0
64,0.0,8,0,Action,M,1000.0
52,7.5,10,41,RPG,M,1000.0
72,6.6,5,39,Action,T,1000.0
75,8.5,17,123,RPG,RP,1000.0
74,8.3,8,11,Action,T,1000.0
63,7.4,6,114,Action,M,150000.0
73,7.6,28,25,Action,M,1000.0
56,5.0,21,8,Action,M,1000.0
55,5.2,21,11,Action,M,1000.0
85,7.6,8,19,Action,T,180000.0
66,8.3,8,24,Action,T,1000.0
72,4.9,9,9,Misc,T,1000.0
65,4.6,16,17,Misc,T,30000.0
78,8.3,4,4,Action,T,1000.0
83,7.0,9,10,Action,T,1000.0
71,0.0,4,0,Action,M,1000.0
74,7.8,14,46,Misc,T,1000.0
75,7.6,25,41,Misc,T,1000.0
68,2.6,8,14,Misc,M,1000.0
55,0.0,18,0,Misc,T,1000.0
75,7.7,23,11,Misc,T,1000.0
73,7.6,23,8,Misc,T,1000.0
72,7.5,10,22,Action,M,1000.0
75,0.0,6,0,Misc,T,1000.0
72,7.3,8,57,Action,T,210000.0
82,8.8,7,116,Action,M,1000.0
48,0.0,13,0,Action,M,1000.0
72,6.5,34,57,Action,T,60000.0
76,6.1,31,85,Action,T,290000.0
73,6.4,13,76,Action,T,20000.0
72,7.2,14,55,Action,M,1000.0
66,8.2,8,46,Action,T,1000.0
65,7.4,9,45,Action,T,1000.0
77,7.9,4,8,Action,T,1000.0
65,7.7,15,110,Action,T,1000.0
67,7.6,14,133,Action,T,1000.0
79,7.7,13,93,Action,M,1000.0
69,6.2,8,11,Action,T,1000.0
77,7.7,7,50,Misc,M,1000.0
84,8.8,24,204,Action,RP,1000.0
73,8.0,5,18,Action,M,120000.0
78,7.3,4,6,Action,M,1000.0
59,7.9,6,36,Action,M,1000.0
61,6.1,4,12,RPG,M,1000.0
68,6.7,11,20,Misc,M,1000.0
73,6.2,22,71,Action,M,1000.0
65,5.4,4,15,Action,M,1000.0
81,7.3,24,203,Action,T,60000.0
73,5.1,6,16,Action,M,1000.0
55,5.9,11,14,RPG,M,1000.0
61,7.5,21,83,Action,M,1000.0
75,0.0,4,0,Misc,M,1000.0
75,7.3,8,18,Misc,M,180000.0
43,3.8,35,89,Misc,RP,1000.0
68,6.6,19,19,Misc,M,1000.0
76,6.9,24,13,Misc,T,1000.0
73,8.2,26,37,RPG,T,1000.0
82,7.8,7,21,Misc,M,1000.0
79,7.7,15,12,RPG,M,1000.0
81,7.6,37,1548,Action,M,170000.0
89,8.2,38,2852,Action,M,940000.0
80,7.4,9,90,Action,M,1000.0
82,7.4,8,79,Action,M,1000.0
75,6.1,8,76,Action,M,1000.0
87,8.6,4,118,Action,M,1000.0
69,6.4,6,40,Action,M,1000.0
58,3.8,6,65,Action,M,1000.0
75,6.2,55,810,Action,M,320000.0
73,5.5,5,19,Action,T,1000.0
86,7.1,7,91,Action,M,1000.0
84,7.3,6,88,Action,M,1000.0
82,8.3,38,363,RPG,T,330000.0
64,0.0,4,0,Misc,M,1000.0
56,6.8,42,419,RPG,RP,1000.0
66,0.0,8,0,Action,RP,1000.0
80,6.3,5,4,Action,M,1000.0
90,8.6,11,891,Action,T,1010000.0
78,0.0,8,0,Misc,M,1000.0
70,7.6,6,10,Misc,M,1000.0
62,6.8,8,5,Misc,T,1000.0
61,5.8,12,43,Action,M,1000.0
54,7.0,17,4,Misc,M,1000.0
76,6.7,16,6,Action,T,1000.0
51,5.0,24,32,Action,M,1000.0
71,8.5,7,8,Action,T,1000.0
77,6.5,29,33,Misc,M,160000.0
41,6.8,9,37,Misc,M,1000.0
70,7.6,12,35,Action,M,1000.0
70,6.0,38,558,Misc,T,180000.0
83,8.0,32,263,Action,T,1860000.0
76,6.9,19,104,Misc,T,420000.0
82,7.7,64,357,Misc,M,1000.0
